userName;score;at;content;Kategori
Dina Resiana;2;27/11/2022 08.56;Kecewa padahal saya yg nunggu,pas sampai lokasi,tiba2 harga naik tinggi,malah jadi mahal dari ojol yg lain. Mengecewakan sekali.;Negatif
rahmi aulia;1;27/11/2022 08.23;Alhamdulillah saya senang sekali belanja pake aplikasi ini,khusus nya dilevery Food,setiap kali saya pengen makan apa,saya pastikan alamat food nya dan pelayanan yg sangat menyenangkan,tapi kali ini saya kecewa dgn ojol cewek yg menipu totalan belanja saya,harus nya total 33,tapi dia bilang 40,bukan masalah uang kami yg di ambil tapi kejujurannya itu lo,mentang2 maxim ndak ada daftar harga makanan gitu.Semoga Allah beri dia hidayah Aamiin;Negatif
tavip vip;1;27/11/2022 06.10;Aplikasi butut !! Bikin jengkel..!! Manajemen juga jelek tdk akomodatif!! Sy nunggu pesanan makanan lagi lapar gak datang datang driver di hub gak nyaut nyaut...semuanya tolol!! Aplikasi manajemen dan driver tololllllll semua !!!!;Negatif
fitriyah hoirus;1;27/11/2022 05.54;Maxim emang murah. tapi ga bisa ngecancel. sy pernah order tapi ga ada yg nyangkut ya udah sy order lagi, eh ternyata ga ke cancel. sy merasa rugi;Negatif
Supriatna Adikoko;1;27/11/2022 04.01;Murah nya ok. Cuman maps nya. Saya sampe salah paham sama driver nya. Gra2 alamat tidak sesuai . Dengan titik yg sya cari. Kapok dah pake apk ini. . Mending yg agak mahal tpi bkin nyaman .;Negatif
Desrin vrisnatal sarly;4;27/11/2022 00.36;sangat baik..tapi saran saya kalau bisa pas pelanggan / penumpang memesan orderan kalau bisa di sertai selfie arau foto biar driver bisa tau, karna banyak kendala ketika driver tidak memakai jaket kami sebagai pelanggan juga sulit mencari;Positif
Petrus Tanituru;5;27/11/2022 00.00;sangat cepay dan tepat. intinya maxim sangat membantu dlm setiap kebutuhan pelayanan transportasi. lebih khusus kendaraan roda dua;Positif
Bayu Septian;4;26/11/2022 23.44;Maxim sementara ini masih yang terbaik, tp soal penanda di map nya kurang bagus tolong di perbaiki lagi saya nyari alamat tujuan dgn pencarian ga muncul2..;Positif
kikie 08;5;26/11/2022 16.01;Utk ongkosnya murah dibanding aplikator transport lain namun map dan nama lokasi tidak sesuai dan tdk tepat, mesti ngasih catatan ke drivernya. Knp ga ngikutin google map aja.;Positif
Ina Tuasikal;1;26/11/2022 15.25;kecewa sama kebijakan dari Maxim sekrang, tarif yang tertulis sama diminta beda , supir minta tambah ongkir alasannya krna aplikasi blm ngerubah harga sesuai dengan harga BBM, kadang minta tambah 10k bahkan lebih Saya mohon kebijakan dari maxim;Negatif
Sasa Jeon;3;26/11/2022 10.22;Harganya sih oke. Apalagi yg bike nya Kalo yg mobil lama dapet nya. Sering di cancel Tambah in fitur buat kirim foto lah. Biar klo ngarahin nya gampang. Karena kalo maps nya gak sesuai bs ngirim foto;Negatif
Hamzz `;3;26/11/2022 10.12;tampilan aplikasinya bikin bingung, trs nyari driver juga lama, tanda titik penjemputan dan titik lokasi yg dituju sama;Negatif
Amri Al'ansyari;4;26/11/2022 09.46;Saya driver maxim,,, Saran saya, untuk aplikasi maxim penumpang agar segera di optimalkan sebab banyaknya orderan fiktif dan juga banyaknya orderan penipuan,, untuk pihak maxim segera di tindak lanjuti agar tidak merugikan driver,,;Positif
guntv1 channel;5;26/11/2022 09.02;pencarian driver cepat . padahal kami di desa salut sama maxim. terimakasih Maxim. driver ramah ,perjalanan lancar;Positif
Hayyu Ana;5;26/11/2022 08.26;aplikasinya sudah bagus, semangat buat developernya. tapi akan lebih baik lagi kalau map nya lebih lengkap untuk titik penjemputan dan tujuan. semangat;Positif
Muhammad Robby Alamsyah;2;25/11/2022 18.55;Tolong maps jangan pakai open stret! Saya costummer sulit mencari lokasi tujuan!! Kalau bisa seperti aplikasi sebelah lebih mudah! Dan di utamakan pakai google mapa jangan open stret maps sulit sekali cari alamat! Tidak lengkap!! Jelek;Negatif
Mela iskandar;5;25/11/2022 14.35;baik sekali , ramah , sopan dan sangat hati hati mengandarai motor , trimksh mas maxim yg baik , udh mengantar sampai tempat , smga rezekinya lancar orederan nya banyak , sehat trs ya mas ,;Positif
marwan tansir;3;25/11/2022 13.39;Tarif nya sih ok Lebih murah dr ojol yg lain Tp sayang masih pakai uang kas, Sedikit ribet,dan jadi kesempatan driver buay cari uang lebih,Karena driver tidak pernah nawarin uang kembali,kalau di minta uang kembalinya alasan nya tidak ada kembalian atau kurang ,Jadi klo di hitung jd sama aja dg harga ojol yg lain Kalau bisa bayar nya lewat aplikasi;Negatif
Michael Tjandra;1;25/11/2022 10.01;Aplikasi keren slalu di tambahin layanan. Tp tlg kl di tambah layanan hrs di tingkatkan jg. Contoh saya coba psn layanan life ( pijet ) masak cari terapis nya 10 menit blm ktm, sampai saya coba 10x pun ttp sama.;Negatif
