userName,score,at,content,Kategori
Dina Resiana,2.0,27/11/2022 08.56,kecewa,Negatif
rahmi aulia,1.0,27/11/2022 08.23,alhamdulillah,Negatif
tavip vip,1.0,27/11/2022 06.10,aplikasi,Negatif
fitriyah hoirus,1.0,27/11/2022 05.54,maxim,Negatif
Supriatna Adikoko,1.0,27/11/2022 04.01,murah,Negatif
Desrin vrisnatal sarly,4.0,27/11/2022 00.36,baiktapi,Positif
Petrus Tanituru,5.0,27/11/2022 00.00,cepay,Positif
Bayu Septian,4.0,26/11/2022 23.44,maxim,Positif
kikie 08,5.0,26/11/2022 16.01,utk,Positif
Ina Tuasikal,1.0,26/11/2022 15.25,kecewa,Negatif
Sasa Jeon,3.0,26/11/2022 10.22,harga,Negatif
Hamzz `,3.0,26/11/2022 10.12,tampil,Negatif
Amri Al'ansyari,4.0,26/11/2022 09.46,driver,Positif
guntv1 channel,5.0,26/11/2022 09.02,cari,Positif
Hayyu Ana,5.0,26/11/2022 08.26,aplikasi,Positif
Muhammad Robby Alamsyah,2.0,25/11/2022 18.55,tolong,Negatif
Mela iskandar,5.0,25/11/2022 14.35,,Positif
marwan tansir,3.0,25/11/2022 13.39,tarif,Negatif
Michael Tjandra,1.0,25/11/2022 10.01,aplikasi,Negatif
Rasya Alfianovansah,2.0,25/11/2022 09.26,harga,Negatif
Sarah Dewi Rahayu (Salvia Demetria Rosaline),2.0,25/11/2022 04.49,tarif,Negatif
Dhiya,2.0,25/11/2022 01.05,alam,Negatif
Christien Efruan,5.0,25/11/2022 00.58,maxim,Positif
MMC GO,5.0,24/11/2022 16.19,bingungsetelah,Positif
Sofi Sundari,4.0,24/11/2022 12.39,bagus,Positif
Untung Kita,2.0,24/11/2022 09.12,aplikasi,Negatif
Doni Renaldi,1.0,24/11/2022 07.42,harga,Negatif
Thufiel16 Kocheng,4.0,24/11/2022 07.10,bug,Positif
Edi Turnip,1.0,24/11/2022 05.41,lumayan,Negatif
Sarosuk 22,2.0,24/11/2022 01.49,alamat,Negatif
Eyang Sayang Zavier,2.0,23/11/2022 11.21,login,Negatif
UDA Sapan Official,3.0,23/11/2022 08.36,map,Negatif
Vera Angelica,1.0,23/11/2022 07.36,maxim,Negatif
Mute,5.0,23/11/2022 05.57,tarif,Positif
Muhammad Arviantara Nagradaputra,5.0,23/11/2022 00.43,layan,Positif
